Frame,Time,People_Count_true,Time_teacher,People_Count_teacher,Time_qc,People_Count_qc,Difference
940,1:17:17,5,1:17:17,6.0,02:35:28,7,2
945,1:17:18,5,1:17:18,6.0,02:35:35,7,2
950,1:17:19,5,1:17:19,6.0,02:35:43,9,4
955,1:17:20,5,1:17:20,6.0,02:35:51,7,2
960,1:17:21,5,1:17:21,6.0,02:35:58,7,2
965,1:17:22,5,1:17:22,6.0,02:36:06,5,0
970,1:17:23,5,1:17:23,6.0,02:36:13,7,2
975,1:17:24,5,1:17:24,6.0,02:36:21,7,2
980,1:17:25,5,1:17:25,6.0,02:36:28,7,2
985,1:17:26,5,1:17:26,6.0,02:36:36,9,4
990,1:17:27,5,1:17:27,6.0,02:36:43,7,2
995,1:17:28,5,1:17:28,6.0,02:36:51,6,1
1000,1:17:29,5,1:17:29,6.0,02:36:58,5,0
1005,1:17:30,5,1:17:30,6.0,02:37:06,7,2
1010,1:17:31,5,1:17:31,6.0,02:37:13,7,2
1015,1:17:32,5,1:17:32,6.0,02:37:21,7,2
1020,1:17:33,5,1:17:33,6.0,02:37:28,9,4
1025,1:17:34,5,1:17:34,6.0,02:37:36,7,2
1030,1:17:34,5,1:17:34,6.0,02:37:43,9,4
1035,1:17:35,5,1:17:35,6.0,02:37:51,7,2
1040,1:17:36,5,1:17:36,6.0,02:37:58,7,2
1045,1:17:37,5,1:17:37,6.0,02:38:06,7,2
1050,1:17:38,5,1:17:38,6.0,02:38:13,6,1
1055,1:17:39,5,1:17:39,6.0,02:38:21,4,-1
1060,1:17:40,5,1:17:40,6.0,02:38:28,7,2
1065,1:17:41,5,1:17:41,6.0,02:38:36,6,1
1070,1:17:42,5,1:17:42,6.0,02:38:44,6,1
1075,1:17:43,5,1:17:43,6.0,02:38:51,9,4
1080,1:17:44,5,1:17:44,6.0,02:38:59,8,3
1085,1:17:45,6,1:17:45,6.0,02:39:06,4,-2
1090,1:17:46,6,1:17:46,6.0,02:39:14,7,1
1095,1:17:47,6,1:17:47,6.0,02:39:21,7,1
1100,1:17:48,6,1:17:48,6.0,02:39:29,7,1
1105,1:17:49,6,1:17:49,6.0,02:39:36,8,2
1110,1:17:50,6,1:17:50,6.0,02:39:44,5,-1
1115,1:17:51,6,1:17:51,6.0,02:39:51,8,2
1120,1:17:52,6,1:17:52,6.0,02:39:59,6,0
1125,1:17:53,6,1:17:53,6.0,02:40:06,6,0
1130,1:17:54,6,1:17:54,6.0,02:40:14,5,-1
1135,1:17:55,6,1:17:55,6.0,02:40:21,7,1
1140,1:17:56,6,1:17:56,6.0,02:40:29,6,0
1145,1:17:57,6,1:17:57,6.0,02:40:37,6,0
1150,1:17:58,6,1:17:58,6.0,02:40:44,6,0
1155,1:17:59,6,1:17:59,6.0,02:40:52,6,0
1160,1:18:00,6,1:18:00,6.0,02:41:00,6,0
1165,1:18:01,6,1:18:01,6.0,02:41:07,6,0
1170,1:18:02,6,1:18:02,6.0,02:41:15,7,1
1175,1:18:03,6,1:18:03,6.0,02:41:22,5,-1
1180,1:18:04,6,1:18:04,6.0,02:41:30,7,1
1185,1:18:05,6,1:18:05,6.0,02:41:37,7,1
1190,1:18:05,6,1:18:05,6.0,02:41:45,7,1
1195,1:18:06,6,1:18:06,7.0,02:41:52,7,1
1200,1:18:07,6,1:18:07,6.0,02:42:00,6,0
1205,1:18:08,6,1:18:08,6.0,02:42:07,7,1
1210,1:18:09,6,1:18:09,6.0,02:42:15,7,1
1215,1:18:10,6,1:18:10,6.0,02:42:22,7,1
1220,1:18:11,6,1:18:11,6.0,02:42:30,7,1
1225,1:18:12,6,1:18:12,6.0,02:42:37,7,1
1230,1:18:13,6,1:18:13,7.0,02:42:45,7,1
1235,1:18:14,6,1:18:14,7.0,02:42:52,7,1
1240,1:18:15,6,1:18:15,7.0,02:43:00,7,1
1245,1:18:16,6,1:18:16,6.0,02:43:07,7,1
1250,1:18:17,6,1:18:17,6.0,02:43:15,6,0
1255,1:18:18,6,1:18:18,6.0,02:43:22,6,0
1260,1:18:19,6,1:18:19,6.0,02:43:30,6,0
1265,1:18:20,6,1:18:20,6.0,02:43:37,6,0
1270,1:18:21,6,1:18:21,6.0,02:43:45,6,0
1275,1:18:22,6,1:18:22,6.0,02:43:52,6,0
1280,1:18:23,6,1:18:23,6.0,02:44:00,6,0
1285,1:18:24,6,1:18:24,5.0,02:44:07,7,1
1290,1:18:25,6,1:18:25,5.0,02:44:14,7,1
1295,1:18:26,6,1:18:26,4.0,02:44:22,7,1
